trim(title),trim(studio)
"K.G.F: Chapter 2","Hombale Films"
"Doctor Strange in the Multiverse of Madness","Marvel Studios"
"Thor: The Dark World","Marvel Studios"
"Thor: Ragnarok","Marvel Studios"
"Thor: Love and Thunder","Marvel Studios"
Sholay,"United Producers"
"Dilwale Dulhania Le Jayenge","Yash Raj Films"
"3 Idiots","Vinod Chopra Films"
"Kabhi Khushi Kabhie Gham","Dharma Productions"
"Bajirao Mastani",
"The Shawshank Redemption","Castle Rock Entertainment"
Inception,"Warner Bros. Pictures"
Interstellar,"Warner Bros. Pictures"
"The Pursuit of Happyness","Columbia Pictures"
Gladiator,"Universal Pictures"
Titanic,"Paramount Pictures"
"It's a Wonderful Life","Liberty Films"
Avatar,"20th Century Fox"
"The Godfather","Paramount Pictures"
"The Dark Knight",Syncopy
"Schindler's List","Universal Pictures"
"Jurassic Park","Universal Pictures"
Parasite,
"Avengers: Endgame","Marvel Studios"
"Avengers: Infinity War","Marvel Studios"
"Pather Panchali","Government of West Bengal"
"Taare Zameen Par",
"Munna Bhai M.B.B.S.","Vinod Chopra Productions"
PK,"Vinod Chopra Films"
Sanju,"Vinod Chopra Films"
"Pushpa: The Rise - Part 1","Mythri Movie Makers"
RRR,"DVV Entertainment"
"Baahubali: The Beginning","Arka Media Works"
"The Kashmir Files","Zee Studios"
"Bajrangi Bhaijaan","Salman Khan Films"
"Captain America: The First Avenger","Marvel Studios"
"Captain America: The Winter Soldier","Marvel Studios"
"Race 3","Salman Khan Films"
Shershaah,"Dharma Productions"
